Rank Release,Year,Movie,Worldwide Box Office,Domestic Box Office,International Box Office
589,2018,Ant-Man and the Wasp,623144660,216648740,406495920
590,2018,Ralph Breaks The Internet,529290830,201091711,328199119
591,2018,Solo: A Star Wars Story,393151347,213767512,179383835
592,2018,Mary Poppins Returns,349558438,171958438,177600000
593,2018,Christopher Robin,197504758,99215042,98289716
594,2018,The Nutcracker and the Four Realms,170024300,54858851,115165449
595,2018,A Wrinkle in Time,133401882,100478608,32923274
596,2019,Avengers: Endgame,2797800564,858373000,1939427564
597,2019,The Lion King,1656943394,543638043,1113305351
598,2019,Frozen II,1447561655,477373578,970188077
599,2019,Captain Marvel,1129729839,426829839,702900000
600,2019,Star Wars: The Rise of Skywalker,1073475142,515202542,558272600
601,2019,Toy Story 4,1073394813,434038008,639356805
602,2019,Aladdin,1050959216,355559216,695400000
603,2019,Maleficent: Mistress of Evil,489347098,113929605,375417493
604,2019,Dumbo,353166307,114766307,238400000
605,2019,Penguins,7699452,7699452,
606,2020,Onward,102954352,61555145,41399207
