timestamp,users_holding
5/2/2018 4:56,59936
5/2/2018 6:41,59936
5/3/2018 0:38,59950
5/3/2018 6:36,59950
5/3/2018 6:51,59950
5/3/2018 7:10,59950
5/3/2018 7:37,59950
5/3/2018 7:46,59950
5/3/2018 11:22,59949
5/3/2018 12:45,59949
5/3/2018 13:45,59949
5/3/2018 14:45,60128
5/3/2018 15:45,60247
5/3/2018 16:45,60344
5/3/2018 17:45,60416
5/3/2018 18:45,60444
5/3/2018 19:45,60460
5/3/2018 20:45,60486
5/3/2018 21:45,60487
5/3/2018 22:45,60492
5/3/2018 23:45,60491
5/4/2018 0:45,60491
5/4/2018 1:45,60491
5/4/2018 2:45,60491
5/4/2018 3:45,60491
5/4/2018 4:45,60491
5/4/2018 5:45,60491
5/4/2018 6:45,60491
5/4/2018 7:45,60491
5/4/2018 8:45,60491
5/4/2018 9:45,60493
5/4/2018 10:45,60493
5/4/2018 11:45,60493
5/4/2018 12:45,60493
5/4/2018 20:50,60115
5/4/2018 20:56,60115
5/4/2018 21:02,60115
5/4/2018 21:08,60115
5/4/2018 21:14,60115
5/4/2018 21:20,60115
5/4/2018 21:26,60115
5/4/2018 21:32,60115
5/4/2018 21:45,60115
5/4/2018 22:45,60117
5/4/2018 23:45,60117
5/5/2018 0:45,60117
5/5/2018 1:45,60117
5/5/2018 2:45,60117
5/5/2018 3:45,60117
5/5/2018 4:45,60117
5/5/2018 5:45,60117
5/5/2018 6:45,60117
5/5/2018 7:45,60117
5/5/2018 8:45,60117
5/5/2018 9:45,60117
5/5/2018 10:45,60117
5/5/2018 11:45,60117
5/5/2018 12:45,60117
5/5/2018 13:45,60117
5/5/2018 14:45,60117
5/5/2018 15:45,60117
5/5/2018 16:45,60119
5/5/2018 17:45,60119
5/5/2018 18:45,60119
5/5/2018 19:45,60119
5/5/2018 20:45,60119
5/5/2018 21:45,60119
5/5/2018 22:45,60119
5/5/2018 23:45,60119
5/6/2018 0:45,60119
5/6/2018 1:45,60119
5/6/2018 2:45,60119
5/6/2018 3:45,60119
5/6/2018 4:45,60119
5/6/2018 5:45,60119
5/6/2018 6:45,60119
5/6/2018 7:45,60119
5/6/2018 8:45,60119
5/6/2018 9:45,60119
5/6/2018 10:45,60119
5/6/2018 11:45,60119
5/6/2018 12:45,60119
5/6/2018 13:45,60119
5/6/2018 14:45,60119
5/6/2018 15:45,60119
5/6/2018 16:45,60119
5/6/2018 17:45,60119
5/6/2018 18:45,60119
5/6/2018 19:45,60119
5/6/2018 20:45,60119
5/6/2018 21:45,60119
5/6/2018 22:45,60119
5/6/2018 23:45,60119
5/7/2018 0:45,60119
5/7/2018 1:45,60119
5/7/2018 1:59,60119
5/7/2018 2:45,60119
5/7/2018 3:45,60119
5/7/2018 4:45,60119
5/7/2018 5:45,60119
5/7/2018 6:45,60119
5/7/2018 7:45,60119
5/7/2018 8:45,60119
5/7/2018 9:45,60120
5/7/2018 10:45,60120
5/7/2018 11:45,60120
5/7/2018 12:45,60120
5/7/2018 13:45,60111
5/7/2018 14:45,60368
5/7/2018 15:45,60470
5/7/2018 16:45,60598
5/7/2018 22:45,60922
5/7/2018 23:45,60922
5/8/2018 0:45,60922
5/8/2018 1:45,60922
5/8/2018 2:45,60922
5/8/2018 3:45,60922
5/8/2018 4:45,60922
5/8/2018 5:45,60922
5/8/2018 6:45,60922
5/8/2018 7:45,60922
5/8/2018 8:45,60922
5/8/2018 9:45,60923
5/8/2018 10:45,60926
5/8/2018 11:45,60926
5/8/2018 12:45,60926
5/8/2018 13:45,60926
5/8/2018 14:45,61380
5/8/2018 15:45,61625
5/8/2018 16:45,61794
5/8/2018 17:45,61954
5/8/2018 18:45,62099
5/8/2018 19:45,62304
5/8/2018 20:45,62698
5/8/2018 21:45,62764
5/8/2018 22:45,62771
5/8/2018 23:45,62771
5/9/2018 0:45,62771
5/9/2018 1:45,62771
5/9/2018 2:45,62771
5/9/2018 3:45,62771
5/9/2018 4:45,62771
5/9/2018 5:45,62771
5/9/2018 6:45,62771
5/9/2018 7:45,62771
5/9/2018 8:45,62771
5/9/2018 9:45,62771
5/9/2018 10:45,62772
5/9/2018 11:45,62772
5/9/2018 12:45,62772
5/9/2018 13:45,62772
5/9/2018 14:45,62730
5/9/2018 15:45,62905
5/9/2018 16:45,63064
5/9/2018 17:45,63226
5/9/2018 18:45,63313
5/9/2018 19:45,63501
5/9/2018 20:45,63590
5/9/2018 21:45,63586
5/9/2018 22:45,63583
5/9/2018 23:45,63583
5/10/2018 0:45,63583
5/10/2018 1:45,63583
5/10/2018 2:45,63583
5/10/2018 3:45,63583
5/10/2018 4:45,63583
5/10/2018 5:45,63583
5/10/2018 6:45,63583
5/10/2018 7:45,63583
5/10/2018 8:45,63584
5/10/2018 9:45,63584
5/10/2018 10:45,63584
5/10/2018 11:45,63584
5/10/2018 12:45,63584
5/10/2018 13:45,63584
5/10/2018 14:45,63511
